Time Stamp,AirTemp(F),AirTemp(c)
yyyy-mm-dd hh:mm:ss,F,C
2017-10-27 12:53:00,53.1,11.8
2017-10-27 01:53:00,50.0,10.0
2017-10-27 02:53:00,48.0,8.9
2017-10-27 03:53:00,46.0,7.8
2017-10-27 04:53:00,44.1,6.8
2017-10-27 05:53:00,42.1,5.7
2017-10-27 06:35:00,41.0,5.0
2017-10-27 06:53:00,41.0,5.0
2017-10-27 07:53:00,41.0,5.0
2017-10-27 08:04:00,41.0,5.0
2017-10-27 08:26:00,39.9,4.4
2017-10-27 08:53:00,39.9,4.4
2017-10-27 09:53:00,42.1,5.7
2017-10-27 11:53:00,44.1,6.8
2017-10-27 12:53:00,44.1,6.8
2017-10-27 01:53:00,45.0,7.3
2017-10-27 02:53:00,45.0,7.3
2017-10-27 04:53:00,43.0,6.2
2017-10-27 05:53:00,42.1,5.7
2017-10-27 08:53:00,41.0,5.0
2017-10-27 09:53:00,39.9,4.4
2017-10-27 10:53:00,39.9,4.4
2017-10-27 11:53:00,39.0,3.9
2017-10-28 12:53:00,39.0,3.9
2017-10-28 01:53:00,37.9,3.3
2017-10-28 02:48:00,37.4,3.0
2017-10-28 02:53:00,37.9,3.3
2017-10-28 03:08:00,37.9,3.3
2017-10-28 03:37:00,37.9,3.3
2017-10-28 03:53:00,37.9,3.3
2017-10-28 04:19:00,37.0,2.8
2017-10-28 04:48:00,37.4,3.0
2017-10-28 04:53:00,37.0,2.8
2017-10-28 05:53:00,37.0,2.8
2017-10-28 06:12:00,37.0,2.8
2017-10-28 06:51:00,35.6,2.1
2017-10-28 06:53:00,36.0,2.3
2017-10-28 07:25:00,36.0,2.3
2017-10-28 07:35:00,36.0,2.3
2017-10-28 07:46:00,36.0,2.3
2017-10-28 07:53:00,36.0,2.3
2017-10-28 08:00:00,36.0,2.3
2017-10-28 08:07:00,36.0,2.3
2017-10-28 08:32:00,37.0,2.8
2017-10-28 09:03:00,37.9,3.3
2017-10-28 09:53:00,37.9,3.3
2017-10-28 10:03:00,39.0,3.9
2017-10-28 10:53:00,39.9,4.4
2017-10-28 11:53:00,39.9,4.4
2017-10-28 12:53:00,39.9,4.4
2017-10-28 01:53:00,39.9,4.4
2017-10-28 02:53:00,39.9,4.4
2017-10-28 03:53:00,39.9,4.4
2017-10-28 04:53:00,39.0,3.9
2017-10-28 05:53:00,37.9,3.3
2017-10-28 06:53:00,37.9,3.3
2017-10-28 07:53:00,37.9,3.3
2017-10-28 08:53:00,37.0,2.8
2017-10-28 09:53:00,37.0,2.8
2017-10-28 10:02:00,37.0,2.8
2017-10-28 10:53:00,37.0,2.8
2017-10-28 11:35:00,37.0,2.8
2017-10-28 11:53:00,37.0,2.8
2017-10-29 12:19:00,37.0,2.8
2017-10-29 12:53:00,37.0,2.8
2017-10-29 01:53:00,37.0,2.8
2017-10-29 02:53:00,36.0,2.3
2017-10-29 03:53:00,36.0,2.3
2017-10-29 04:53:00,36.0,2.3
2017-10-29 05:53:00,36.0,2.3
2017-10-29 06:53:00,34.0,1.2
2017-10-29 07:53:00,30.0,-1.1
2017-10-29 08:53:00,35.1,1.8
2017-10-29 09:53:00,39.0,3.9
2017-10-29 10:53:00,41.0,5.0
2017-10-29 11:53:00,42.1,5.7
2017-10-29 12:53:00,44.1,6.8
2017-10-29 01:53:00,46.0,7.8
2017-10-29 02:53:00,48.0,8.9
2017-10-29 03:53:00,48.9,9.4
2017-10-29 04:53:00,48.9,9.4
2017-10-29 05:53:00,42.1,5.7
2017-10-29 06:53:00,41.0,5.0
2017-10-29 07:53:00,42.1,5.7
2017-10-29 08:33:00,37.9,3.3
2017-10-29 08:53:00,37.0,2.8
2017-10-29 09:53:00,35.1,1.8
2017-10-29 10:53:00,41.0,5.0
2017-10-29 11:53:00,43.0,6.2
