Time Stamp,AirTemp(F),AirTemp(c)
yyyy-mm-dd hh:mm:ss,F,C
2017-10-31 12:53:00,35.1,1.8
2017-10-31 01:53:00,37.9,3.3
2017-10-31 02:53:00,37.9,3.3
2017-10-31 03:53:00,37.0,2.8
2017-10-31 04:53:00,37.0,2.8
2017-10-31 05:53:00,35.1,1.8
2017-10-31 06:53:00,30.9,-0.6
2017-10-31 07:53:00,30.0,-1.1
2017-10-31 08:53:00,35.1,1.8
2017-10-31 09:53:00,37.9,3.3
2017-10-31 10:53:00,39.0,3.9
2017-10-31 11:53:00,39.9,4.4
2017-10-31 12:53:00,42.1,5.7
2017-10-31 01:53:00,41.0,5.0
2017-10-31 02:53:00,42.1,5.7
2017-10-31 03:53:00,43.0,6.2
2017-10-31 04:53:00,42.1,5.7
2017-10-31 05:53:00,39.9,4.4
2017-10-31 06:53:00,39.0,3.9
2017-10-31 07:53:00,37.9,3.3
2017-10-31 09:53:00,37.0,2.8
2017-10-31 10:53:00,37.0,2.8
2017-10-31 11:53:00,37.9,3.3
2017-11-01 12:53:00,37.0,2.8
2017-11-01 01:53:00,37.0,2.8
2017-11-01 02:53:00,37.9,3.3
2017-11-01 03:53:00,37.9,3.3
2017-11-01 04:53:00,37.0,2.8
2017-11-01 05:01:00,37.0,2.8
2017-11-01 05:11:00,37.0,2.8
2017-11-01 05:41:00,37.0,2.8
2017-11-01 05:53:00,37.0,2.8
2017-11-01 06:12:00,37.0,2.8
2017-11-01 06:53:00,37.0,2.8
2017-11-01 07:53:00,37.9,3.3
2017-11-01 08:53:00,37.9,3.3
2017-11-01 09:53:00,39.9,4.4
2017-11-01 10:53:00,42.1,5.7
2017-11-01 11:18:00,42.1,5.7
2017-11-01 11:53:00,43.0,6.2
2017-11-01 12:53:00,44.1,6.8
2017-11-01 01:42:00,45.0,7.3
2017-11-01 01:53:00,45.0,7.3
2017-11-01 02:11:00,45.0,7.3
2017-11-01 02:20:00,45.0,7.3
2017-11-01 02:53:00,46.0,7.8
2017-11-01 03:04:00,46.0,7.8
2017-11-01 03:11:00,46.0,7.8
2017-11-01 03:25:00,46.0,7.8
2017-11-01 03:32:00,46.0,7.8
2017-11-01 03:45:00,46.0,7.8
2017-11-01 03:53:00,46.0,7.8
2017-11-01 04:53:00,45.0,7.3
2017-11-01 05:03:00,45.0,7.3
2017-11-01 05:33:00,45.0,7.3
2017-11-01 05:53:00,45.0,7.3
2017-11-01 06:53:00,45.0,7.3
2017-11-01 07:30:00,45.0,7.3
2017-11-01 07:53:00,46.0,7.8
2017-11-01 08:01:00,46.0,7.8
2017-11-01 08:53:00,48.0,8.9
2017-11-01 09:16:00,48.9,9.4
2017-11-01 09:24:00,48.9,9.4
2017-11-01 09:53:00,48.9,9.4
2017-11-01 10:24:00,50.0,10.0
2017-11-01 10:53:00,50.0,10.0
2017-11-01 11:23:00,51.1,10.7
2017-11-01 11:53:00,52.0,11.2
2017-11-02 12:11:00,52.0,11.2
2017-11-02 12:40:00,54.0,12.3
2017-11-02 12:49:00,55.4,13.0
2017-11-02 12:53:00,55.0,12.8
2017-11-02 01:37:00,55.9,13.3
2017-11-02 01:53:00,57.0,13.9
2017-11-02 02:53:00,57.9,14.4
2017-11-02 03:53:00,57.9,14.4
2017-11-02 04:17:00,57.9,14.4
2017-11-02 04:53:00,59.0,15.0
2017-11-02 05:19:00,59.0,15.0
2017-11-02 05:53:00,60.1,15.7
2017-11-02 06:07:00,60.1,15.7
2017-11-02 06:18:00,60.1,15.7
2017-11-02 06:32:00,60.1,15.7
2017-11-02 06:46:00,60.1,15.7
2017-11-02 06:53:00,60.1,15.7
2017-11-02 07:13:00,60.1,15.7
2017-11-02 07:29:00,60.1,15.7
2017-11-02 07:53:00,60.1,15.7
2017-11-02 08:07:00,60.1,15.7
2017-11-02 08:19:00,60.1,15.7
2017-11-02 08:49:00,60.8,16.0
2017-11-02 08:53:00,61.0,16.2
2017-11-02 09:04:00,61.0,16.2
2017-11-02 09:53:00,61.0,16.2
2017-11-02 10:04:00,62.1,16.8
2017-11-02 10:53:00,64.0,17.8
2017-11-02 11:53:00,64.9,18.3
